/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3287	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3292	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3299	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3305	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3311	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3317	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3343	module_export						return entity						return entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3353	module_export						return entity						return entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3356	module_export					return entity					return entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3381	module_export					return entity					return entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3520	module_export	            local to_remove = {}:: { [i53]: componentrecord}	            local to_remove = {}:: { [i53]: componentrecord}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3723	module_export				return false				return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3725	module_export			return true			return true
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3739	module_export			local new_archetypes = {}			local new_archetypes = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3740	module_export			local new_archetype_map = {}			local new_archetype_map = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3764	module_export			return max_component_id			return max_component_id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3925	module_export		return world		return world
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3957	module_export				return e				return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3967	module_export				return e				return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3970	module_export			return e			return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	3994	module_export			return e			return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	4000	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	4021	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	4027	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/entities/hierarchy.luau	50	module_export		return str		return str
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/cframe.luau	124	module_export		return pt		return pt
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/cframe.luau	176	module_export		return cframe		return cframe
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/vector3.luau	119	module_export			return false			return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/vector3.luau	123	module_export			return false			return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/vector3.luau	126	module_export		return true		return true
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/number.luau	114	module_export		return p		return p
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/number.luau	122	module_export			return false			return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/number.luau	126	module_export			return false			return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/number.luau	129	module_export		return true		return true
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/deserialize.luau	34	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Spring/vector2.luau	142	module_export		return p		return p
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/queries/wildcards.luau	9	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/collect.luau	2	module_export		local enqueued = {}		local enqueued = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/runtime_lints.luau	39	module_export				return name				return name
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/queries/archetypes/targets.luau	16	module_export			return name			return name
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	62	module_export			return e			return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	91	module_export		local timelines = {}		local timelines = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	107	module_export			local data = {}			local data = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	127	module_export			local entities = {}			local entities = {}
